AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
LAX,Los Angeles International Airport,4,0,0,0,0,0,0,0,1,2,1,2024-01-01,0,1100 - 1200,2024-08-05 10:19:48,0,0,0,0,A27F,Atlantic Aviation GAF,6,0,6,0
LAX,Los Angeles International Airport,19,0,0,0,0,0,0,0,1,4,2,2024-01-01,0,1300 - 1400,2024-08-05 10:19:48,2,0,0,0,A27F,Atlantic Aviation GAF,23,0,23,2
LAX,Los Angeles International Airport,16,0,15,0,0,0,0,15,1,1,1,2024-01-01,0,1400 - 1500,2024-08-05 10:19:48,25,15,26,25,A27F,Atlantic Aviation GAF,32,14,6,23
LAX,Los Angeles International Airport,18,0,109,0,0,0,0,20,5,2,1,2024-01-01,8,0900 - 1000,2024-08-05 10:19:48,28,19,15,27,A278,Satellite 7,129,20,114,28
LAX,Los Angeles International Airport,272,0,214,137,278,14,0,30,8,24,5,2024-01-01,163,1100 - 1200,2024-08-05 10:19:48,65,35,209,62,A278,Satellite 7,939,29,730,65
LAX,Los Angeles International Airport,171,0,123,16,0,0,0,15,8,9,1,2024-01-01,77,1200 - 1300,2024-08-05 10:19:48,32,18,79,32,A278,Satellite 7,319,14,240,32
LAX,Los Angeles International Airport,156,0,2,0,0,0,0,7,7,5,1,2024-01-01,37,1300 - 1400,2024-08-05 10:19:48,17,9,13,17,A278,Satellite 7,163,7,150,15
LAX,Los Angeles International Airport,162,0,22,0,0,0,0,10,8,3,2,2024-01-01,37,1400 - 1500,2024-08-05 10:19:48,23,16,14,23,A278,Satellite 7,187,10,173,22
LAX,Los Angeles International Airport,264,0,31,0,0,0,0,10,8,6,2,2024-01-01,48,1500 - 1600,2024-08-05 10:19:48,17,9,38,16,A278,Satellite 7,301,10,263,17
LAX,Los Angeles International Airport,162,0,0,0,0,0,0,7,7,7,1,2024-01-01,51,1600 - 1700,2024-08-05 10:19:48,14,7,13,13,A278,Satellite 7,169,7,156,14
LAX,Los Angeles International Airport,455,0,202,213,210,120,0,29,9,35,7,2024-01-01,204,1700 - 1800,2024-08-05 10:19:48,77,40,185,76,A278,Satellite 7,1235,27,1050,77
LAX,Los Angeles International Airport,0,0,75,23,2,209,0,57,8,1,1,2024-01-01,70,1800 - 1900,2024-08-05 10:19:48,83,63,79,83,A278,Satellite 7,310,55,231,83
LAX,Los Angeles International Airport,72,0,104,0,0,0,0,17,12,5,1,2024-01-01,32,0000 - 0100,2024-08-05 10:19:48,28,19,17,28,A273,Tom Bradley International Terminal,181,17,164,28
LAX,Los Angeles International Airport,253,0,196,184,98,26,0,26,24,22,4,2024-01-01,146,0500 - 0600,2024-08-05 10:19:48,67,33,251,67,A273,Tom Bradley International Terminal,779,23,528,67
LAX,Los Angeles International Airport,652,0,531,834,441,195,0,31,26,68,10,2024-01-01,567,0600 - 0700,2024-08-05 10:19:48,88,37,832,88,A273,Tom Bradley International Terminal,2721,29,1889,88
LAX,Los Angeles International Airport,137,0,256,178,450,70,0,38,27,33,5,2024-01-01,127,0700 - 0800,2024-08-05 10:19:48,68,45,381,68,A273,Tom Bradley International Terminal,1124,35,743,64
LAX,Los Angeles International Airport,201,0,485,445,447,629,179,49,34,71,8,2024-01-01,208,0800 - 0900,2024-08-05 10:19:48,111,63,1244,111,A273,Tom Bradley International Terminal,2457,36,1213,104
LAX,Los Angeles International Airport,322,0,168,115,173,267,0,36,34,33,5,2024-01-01,162,0900 - 1000,2024-08-05 10:19:48,82,55,455,82,A273,Tom Bradley International Terminal,1078,23,623,82
LAX,Los Angeles International Airport,462,0,325,78,0,0,0,15,35,23,4,2024-01-01,99,1000 - 1100,2024-08-05 10:19:48,44,21,248,44,A273,Tom Bradley International Terminal,888,13,640,39
LAX,Los Angeles International Airport,731,0,1046,171,0,0,0,18,39,49,10,2024-01-01,235,1100 - 1200,2024-08-05 10:19:48,40,19,750,39,A273,Tom Bradley International Terminal,1997,18,1247,40
LAX,Los Angeles International Airport,1162,0,845,192,22,4,0,16,39,70,11,2024-01-01,360,1200 - 1300,2024-08-05 10:19:48,69,22,616,69,A273,Tom Bradley International Terminal,2295,14,1679,61
LAX,Los Angeles International Airport,1096,0,762,463,292,55,0,23,37,87,9,2024-01-01,337,1300 - 1400,2024-08-05 10:19:48,70,36,1058,70,A273,Tom Bradley International Terminal,2755,15,1697,70
LAX,Los Angeles International Airport,395,0,554,181,146,220,0,30,37,43,7,2024-01-01,260,1400 - 1500,2024-08-05 10:19:48,88,55,476,88,A273,Tom Bradley International Terminal,1539,19,1063,71
LAX,Los Angeles International Airport,568,0,338,143,157,0,0,20,37,42,5,2024-01-01,143,1500 - 1600,2024-08-05 10:19:48,59,34,465,59,A273,Tom Bradley International Terminal,1248,12,783,59
LAX,Los Angeles International Airport,859,0,869,106,0,0,0,16,35,59,9,2024-01-01,352,1600 - 1700,2024-08-05 10:19:48,39,19,481,39,A273,Tom Bradley International Terminal,1893,15,1412,37
LAX,Los Angeles International Airport,957,0,594,441,50,0,0,19,33,62,9,2024-01-01,326,1700 - 1800,2024-08-05 10:19:48,49,22,764,49,A273,Tom Bradley International Terminal,2104,17,1340,49
LAX,Los Angeles International Airport,688,0,410,28,0,0,0,14,27,29,6,2024-01-01,230,1800 - 1900,2024-08-05 10:19:48,35,17,344,35,A273,Tom Bradley International Terminal,1155,12,811,35
LAX,Los Angeles International Airport,679,0,588,332,137,14,0,21,27,44,7,2024-01-01,310,1900 - 2000,2024-08-05 10:19:48,66,24,457,66,A273,Tom Bradley International Terminal,1794,21,1337,58
LAX,Los Angeles International Airport,655,0,242,6,0,0,0,12,25,28,4,2024-01-01,174,2000 - 2100,2024-08-05 10:19:48,31,17,219,31,A273,Tom Bradley International Terminal,931,10,712,29
LAX,Los Angeles International Airport,1017,0,389,0,0,0,0,11,28,36,8,2024-01-01,302,2100 - 2200,2024-08-05 10:19:48,25,12,335,23,A273,Tom Bradley International Terminal,1442,11,1107,25
LAX,Los Angeles International Airport,1002,0,458,0,0,0,0,12,25,39,10,2024-01-01,131,2200 - 2300,2024-08-05 10:19:48,28,13,356,28,A273,Tom Bradley International Terminal,1499,12,1143,28
LAX,Los Angeles International Airport,707,0,529,0,0,0,0,14,25,31,7,2024-01-01,116,2300 - 0000,2024-08-05 10:19:48,29,15,263,29,A273,Tom Bradley International Terminal,1267,14,1004,29
LAX,Los Angeles International Airport,8,0,0,0,0,0,0,2,1,2,1,2024-01-02,0,1000 - 1100,2024-08-05 10:19:48,5,0,0,0,A27F,Atlantic Aviation GAF,10,2,10,5
LAX,Los Angeles International Airport,11,0,0,0,0,0,0,0,1,4,2,2024-01-02,0,1100 - 1200,2024-08-05 10:19:48,2,0,0,0,A27F,Atlantic Aviation GAF,15,0,15,2
LAX,Los Angeles International Airport,5,0,0,0,0,0,0,0,1,1,1,2024-01-02,0,1200 - 1300,2024-08-05 10:19:48,1,0,0,0,A27F,Atlantic Aviation GAF,6,0,6,1
LAX,Los Angeles International Airport,6,0,0,0,0,0,0,4,2,1,1,2024-01-02,0,1400 - 1500,2024-08-05 10:19:48,9,4,5,9,A27F,Atlantic Aviation GAF,7,1,2,1
LAX,Los Angeles International Airport,18,0,0,0,0,0,0,1,1,4,3,2024-01-02,0,1800 - 1900,2024-08-05 10:19:48,3,0,0,0,A27F,Atlantic Aviation GAF,22,1,22,3
LAX,Los Angeles International Airport,302,0,150,35,0,0,0,13,7,11,2,2024-01-02,76,1000 - 1100,2024-08-05 10:19:48,35,15,86,35,A278,Satellite 7,498,13,412,35
LAX,Los Angeles International Airport,126,0,186,86,67,0,0,25,6,13,3,2024-01-02,49,1100 - 1200,2024-08-05 10:19:48,58,26,125,56,A278,Satellite 7,478,24,353,58
LAX,Los Angeles International Airport,287,0,54,0,0,0,0,10,7,7,2,2024-01-02,52,1300 - 1400,2024-08-05 10:19:48,23,13,45,23,A278,Satellite 7,348,9,303,21
LAX,Los Angeles International Airport,323,0,131,14,0,0,0,12,7,10,2,2024-01-02,98,1400 - 1500,2024-08-05 10:19:48,32,13,73,32,A278,Satellite 7,478,12,405,32
LAX,Los Angeles International Airport,233,0,51,0,0,0,0,10,6,1,2,2024-01-02,27,1500 - 1600,2024-08-05 10:19:48,19,11,48,19,A278,Satellite 7,285,10,237,19
LAX,Los Angeles International Airport,127,0,34,0,0,0,0,8,8,5,1,2024-01-02,26,1600 - 1700,2024-08-05 10:19:48,21,8,17,12,A278,Satellite 7,166,9,149,21
LAX,Los Angeles International Airport,298,0,356,375,0,0,0,23,11,25,6,2024-01-02,184,1700 - 1800,2024-08-05 10:19:48,43,22,179,43,A278,Satellite 7,1054,23,875,43
LAX,Los Angeles International Airport,198,0,232,14,0,0,0,16,10,10,2,2024-01-02,85,1800 - 1900,2024-08-05 10:19:48,32,19,120,32,A278,Satellite 7,454,15,334,32
LAX,Los Angeles International Airport,77,0,351,460,482,821,53,51,33,69,9,2024-01-02,433,0500 - 0600,2024-08-05 10:19:48,106,50,718,106,A273,Tom Bradley International Terminal,2313,52,1595,105
LAX,Los Angeles International Airport,236,0,173,368,581,72,0,38,32,40,6,2024-01-02,172,0600 - 0700,2024-08-05 10:19:48,68,39,611,68,A273,Tom Bradley International Terminal,1470,38,859,65
LAX,Los Angeles International Airport,338,0,387,350,202,61,0,29,29,40,6,2024-01-02,137,0700 - 0800,2024-08-05 10:19:48,72,41,520,72,A273,Tom Bradley International Terminal,1378,22,858,72
LAX,Los Angeles International Airport,130,0,325,634,281,311,4,41,28,47,6,2024-01-02,118,0800 - 0900,2024-08-05 10:19:48,95,55,749,95,A273,Tom Bradley International Terminal,1732,31,983,88
LAX,Los Angeles International Airport,423,0,397,119,132,65,0,24,25,32,5,2024-01-02,241,0900 - 1000,2024-08-05 10:19:48,71,46,366,71,A273,Tom Bradley International Terminal,1168,15,802,65
LAX,Los Angeles International Airport,906,0,269,1,0,0,0,11,34,37,5,2024-01-02,112,1000 - 1100,2024-08-05 10:19:48,32,11,411,30,A273,Tom Bradley International Terminal,1213,10,802,32
LAX,Los Angeles International Airport,577,0,510,11,0,0,0,15,34,29,5,2024-01-02,141,1100 - 1200,2024-08-05 10:19:48,33,17,358,33,A273,Tom Bradley International Terminal,1127,14,769,32
LAX,Los Angeles International Airport,1328,0,293,0,0,0,0,10,37,47,7,2024-01-02,200,1200 - 1300,2024-08-05 10:19:48,29,12,514,29,A273,Tom Bradley International Terminal,1668,9,1154,29
LAX,Los Angeles International Airport,1120,0,614,65,0,0,0,13,35,47,7,2024-01-02,269,1300 - 1400,2024-08-05 10:19:48,37,15,603,37,A273,Tom Bradley International Terminal,1846,12,1243,36
LAX,Los Angeles International Airport,945,0,654,301,20,0,0,17,34,52,7,2024-01-02,298,1400 - 1500,2024-08-05 10:19:48,54,27,753,54,A273,Tom Bradley International Terminal,1972,12,1219,41
LAX,Los Angeles International Airport,810,0,919,117,0,0,0,17,33,55,7,2024-01-02,256,1500 - 1600,2024-08-05 10:19:48,43,20,600,43,A273,Tom Bradley International Terminal,1901,15,1301,40
LAX,Los Angeles International Airport,691,0,434,13,0,0,0,13,35,36,5,2024-01-02,204,1600 - 1700,2024-08-05 10:19:48,34,18,287,34,A273,Tom Bradley International Terminal,1174,12,887,31
LAX,Los Angeles International Airport,1194,0,665,267,0,0,0,16,39,59,10,2024-01-02,217,1700 - 1800,2024-08-05 10:19:48,43,17,921,43,A273,Tom Bradley International Terminal,2185,15,1264,43
LAX,Los Angeles International Airport,1367,0,416,42,0,0,0,11,43,47,8,2024-01-02,255,1800 - 1900,2024-08-05 10:19:48,38,15,559,38,A273,Tom Bradley International Terminal,1872,10,1313,33
LAX,Los Angeles International Airport,742,0,768,420,75,0,0,21,35,58,10,2024-01-02,262,1900 - 2000,2024-08-05 10:19:48,57,26,980,57,A273,Tom Bradley International Terminal,2063,17,1083,48
LAX,Los Angeles International Airport,482,0,458,23,0,0,0,15,25,29,5,2024-01-02,145,2000 - 2100,2024-08-05 10:19:48,34,22,234,34,A273,Tom Bradley International Terminal,992,13,758,33
LAX,Los Angeles International Airport,1179,0,339,7,0,0,0,11,21,43,9,2024-01-02,235,2100 - 2200,2024-08-05 10:19:48,36,13,364,36,A273,Tom Bradley International Terminal,1568,11,1204,30
LAX,Los Angeles International Airport,363,0,340,16,0,0,0,15,21,19,4,2024-01-02,58,2200 - 2300,2024-08-05 10:19:48,32,16,162,32,A273,Tom Bradley International Terminal,738,15,576,32
LAX,Los Angeles International Airport,1110,0,198,0,0,0,0,10,22,41,8,2024-01-02,110,2300 - 0000,2024-08-05 10:19:48,26,11,291,26,A273,Tom Bradley International Terminal,1349,9,1058,26
LAX,Los Angeles International Airport,4,0,0,0,0,0,0,8,2,2,1,2024-01-03,0,0900 - 1000,2024-08-05 10:19:57,12,8,5,12,A27F,Atlantic Aviation GAF,6,0,1,0
LAX,Los Angeles International Airport,21,0,0,0,0,0,0,3,1,4,2,2024-01-03,0,1300 - 1400,2024-08-05 10:19:57,13,13,2,13,A27F,Atlantic Aviation GAF,25,2,23,12
LAX,Los Angeles International Airport,6,0,0,0,0,0,0,0,1,1,1,2024-01-03,0,1400 - 1500,2024-08-05 10:19:57,1,0,0,0,A27F,Atlantic Aviation GAF,7,0,7,1
LAX,Los Angeles International Airport,7,0,0,0,0,0,0,1,1,1,1,2024-01-03,0,1700 - 1800,2024-08-05 10:19:57,2,0,0,0,A27F,Atlantic Aviation GAF,8,1,8,2
LAX,Los Angeles International Airport,6,0,0,0,0,0,0,0,1,2,1,2024-01-03,0,2000 - 2100,2024-08-05 10:19:57,2,0,0,0,A27F,Atlantic Aviation GAF,8,0,8,2
LAX,Los Angeles International Airport,255,0,78,0,0,0,0,10,6,4,2,2024-01-03,19,1000 - 1100,2024-08-05 10:19:57,22,10,86,22,A278,Satellite 7,337,10,251,22
LAX,Los Angeles International Airport,197,0,142,247,26,0,0,24,7,13,3,2024-01-03,58,1200 - 1300,2024-08-05 10:19:57,47,27,195,47,A278,Satellite 7,625,23,430,47
LAX,Los Angeles International Airport,164,0,11,0,0,0,0,10,7,0,1,2024-01-03,42,1300 - 1400,2024-08-05 10:19:57,17,14,19,17,A278,Satellite 7,175,10,156,16
LAX,Los Angeles International Airport,148,0,8,0,0,0,0,8,7,5,1,2024-01-03,21,1400 - 1500,2024-08-05 10:19:57,21,6,4,9,A278,Satellite 7,161,8,157,21
LAX,Los Angeles International Airport,209,0,185,205,0,0,0,21,8,13,3,2024-01-03,65,1500 - 1600,2024-08-05 10:19:57,39,21,119,39,A278,Satellite 7,612,21,493,39
LAX,Los Angeles International Airport,148,0,14,0,0,0,0,7,8,7,1,2024-01-03,21,1600 - 1700,2024-08-05 10:19:57,19,12,31,19,A278,Satellite 7,169,6,138,12
LAX,Los Angeles International Airport,502,0,168,172,210,0,0,23,10,24,6,2024-01-03,174,1700 - 1800,2024-08-05 10:19:57,55,26,239,54,A278,Satellite 7,1076,22,837,55
LAX,Los Angeles International Airport,92,0,33,149,202,0,0,36,7,10,2,2024-01-03,71,1800 - 1900,2024-08-05 10:19:57,55,40,138,55,A278,Satellite 7,486,35,348,55
LAX,Los Angeles International Airport,332,0,495,459,180,39,0,28,37,47,6,2024-01-03,257,0500 - 0600,2024-08-05 10:19:57,77,32,465,72,A273,Tom Bradley International Terminal,1552,27,1087,77
LAX,Los Angeles International Airport,385,0,618,763,479,66,0,33,36,64,9,2024-01-03,267,0600 - 0700,2024-08-05 10:19:57,68,40,1074,68,A273,Tom Bradley International Terminal,2375,27,1301,68
LAX,Los Angeles International Airport,263,0,799,263,62,0,0,23,30,41,6,2024-01-03,115,0700 - 0800,2024-08-05 10:19:57,60,27,526,60,A273,Tom Bradley International Terminal,1428,21,902,56
LAX,Los Angeles International Airport,608,0,600,397,251,67,0,26,33,62,6,2024-01-03,157,0800 - 0900,2024-08-05 10:19:57,68,34,958,68,A273,Tom Bradley International Terminal,1985,19,1027,68
LAX,Los Angeles International Airport,279,0,396,418,175,34,0,29,35,43,6,2024-01-03,109,0900 - 1000,2024-08-05 10:19:57,65,40,603,65,A273,Tom Bradley International Terminal,1345,21,742,61
LAX,Los Angeles International Airport,375,0,34,0,0,0,0,9,34,10,2,2024-01-03,20,1000 - 1100,2024-08-05 10:19:57,21,10,157,19,A273,Tom Bradley International Terminal,419,9,262,21
LAX,Los Angeles International Airport,657,0,835,165,22,0,0,19,40,45,8,2024-01-03,161,1100 - 1200,2024-08-05 10:19:57,53,19,571,52,A273,Tom Bradley International Terminal,1724,19,1153,53
LAX,Los Angeles International Airport,1243,0,940,424,26,0,0,18,44,80,11,2024-01-03,287,1200 - 1300,2024-08-05 10:19:57,50,17,865,50,A273,Tom Bradley International Terminal,2713,18,1848,50
LAX,Los Angeles International Airport,391,0,671,921,337,2,0,30,47,59,8,2024-01-03,221,1300 - 1400,2024-08-05 10:19:57,61,35,970,61,A273,Tom Bradley International Terminal,2381,27,1411,60
LAX,Los Angeles International Airport,571,0,568,125,0,0,0,17,35,37,5,2024-01-03,178,1400 - 1500,2024-08-05 10:19:57,44,21,564,44,A273,Tom Bradley International Terminal,1301,14,737,42
LAX,Los Angeles International Airport,1190,0,755,230,35,0,0,16,39,61,8,2024-01-03,341,1500 - 1600,2024-08-05 10:19:57,54,20,859,54,A273,Tom Bradley International Terminal,2271,13,1412,54
LAX,Los Angeles International Airport,437,0,517,264,6,0,0,20,33,40,6,2024-01-03,191,1600 - 1700,2024-08-05 10:19:57,49,28,344,47,A273,Tom Bradley International Terminal,1264,17,920,49
LAX,Los Angeles International Airport,924,0,938,259,2,0,0,17,39,53,9,2024-01-03,230,1700 - 1800,2024-08-05 10:19:57,47,21,987,47,A273,Tom Bradley International Terminal,2176,14,1189,38
LAX,Los Angeles International Airport,1153,0,650,67,0,0,0,13,31,65,7,2024-01-03,292,1800 - 1900,2024-08-05 10:19:57,35,14,709,35,A273,Tom Bradley International Terminal,1935,12,1226,35
LAX,Los Angeles International Airport,481,0,645,607,317,13,0,28,37,64,8,2024-01-03,341,1900 - 2000,2024-08-05 10:19:57,64,37,556,64,A273,Tom Bradley International Terminal,2127,25,1571,60
LAX,Los Angeles International Airport,330,0,284,22,0,0,0,15,20,16,3,2024-01-03,63,2000 - 2100,2024-08-05 10:19:57,33,17,216,33,A273,Tom Bradley International Terminal,652,14,436,32
LAX,Los Angeles International Airport,747,0,622,18,0,0,0,14,19,39,9,2024-01-03,189,2100 - 2200,2024-08-05 10:19:57,34,14,242,32,A273,Tom Bradley International Terminal,1426,14,1184,34
LAX,Los Angeles International Airport,413,0,599,151,0,0,0,19,17,31,7,2024-01-03,91,2200 - 2300,2024-08-05 10:19:57,41,21,288,41,A273,Tom Bradley International Terminal,1194,18,906,41
LAX,Los Angeles International Airport,843,0,947,94,0,0,0,16,19,64,11,2024-01-03,136,2300 - 0000,2024-08-05 10:19:57,43,19,428,43,A273,Tom Bradley International Terminal,1948,15,1520,37
LAX,Los Angeles International Airport,6,0,0,0,0,0,0,1,1,1,1,2024-01-04,0,1700 - 1800,2024-08-05 10:19:57,2,2,1,2,A27F,Atlantic Aviation GAF,7,0,6,2
LAX,Los Angeles International Airport,309,0,170,0,0,0,0,12,8,11,2,2024-01-04,54,1000 - 1100,2024-08-05 10:19:57,28,13,125,28,A278,Satellite 7,490,12,365,28
LAX,Los Angeles International Airport,124,0,111,151,80,0,0,28,7,13,3,2024-01-04,12,1100 - 1200,2024-08-05 10:19:57,53,25,147,51,A278,Satellite 7,479,29,332,53
LAX,Los Angeles International Airport,143,0,146,18,0,0,0,16,7,2,1,2024-01-04,36,1200 - 1300,2024-08-05 10:19:57,32,19,83,32,A278,Satellite 7,309,15,226,32
LAX,Los Angeles International Airport,272,0,49,0,0,0,0,10,7,7,2,2024-01-04,36,1300 - 1400,2024-08-05 10:19:57,19,11,51,19,A278,Satellite 7,328,10,277,19
LAX,Los Angeles International Airport,151,0,11,0,0,0,0,10,7,6,1,2024-01-04,35,1400 - 1500,2024-08-05 10:19:57,19,12,18,18,A278,Satellite 7,168,9,150,19
LAX,Los Angeles International Airport,143,0,156,0,0,0,0,15,7,10,2,2024-01-04,32,1500 - 1600,2024-08-05 10:19:57,27,15,40,27,A278,Satellite 7,309,15,269,27
LAX,Los Angeles International Airport,156,0,8,0,0,0,0,8,6,1,1,2024-01-04,33,1600 - 1700,2024-08-05 10:19:57,18,9,28,15,A278,Satellite 7,165,8,137,18
LAX,Los Angeles International Airport,262,0,176,303,247,0,0,30,8,21,6,2024-01-04,103,1700 - 1800,2024-08-05 10:19:57,55,30,147,55,A278,Satellite 7,1009,30,862,55
LAX,Los Angeles International Airport,64,0,107,124,0,0,0,25,8,6,1,2024-01-04,59,1800 - 1900,2024-08-05 10:19:57,40,29,93,40,A278,Satellite 7,301,23,208,40
LAX,Los Angeles International Airport,220,0,376,280,149,117,5,33,29,31,4,2024-01-04,174,0500 - 0600,2024-08-05 10:19:57,95,41,563,95,A273,Tom Bradley International Terminal,1178,25,615,90
LAX,Los Angeles International Airport,509,0,922,339,289,157,0,29,29,71,9,2024-01-04,319,0600 - 0700,2024-08-05 10:19:57,76,49,616,76,A273,Tom Bradley International Terminal,2287,22,1671,75
LAX,Los Angeles International Airport,318,0,344,104,18,4,0,19,26,24,4,2024-01-04,59,0700 - 0800,2024-08-05 10:19:57,71,28,247,52,A273,Tom Bradley International Terminal,812,15,565,71
LAX,Los Angeles International Airport,604,0,763,538,169,3,0,24,29,58,7,2024-01-04,237,0800 - 0900,2024-08-05 10:19:57,62,28,873,59,A273,Tom Bradley International Terminal,2135,22,1262,62
LAX,Los Angeles International Airport,227,0,379,161,0,0,0,21,26,23,4,2024-01-04,89,0900 - 1000,2024-08-05 10:19:57,45,27,302,45,A273,Tom Bradley International Terminal,790,17,488,44
LAX,Los Angeles International Airport,732,0,228,0,0,0,0,11,34,24,4,2024-01-04,99,1000 - 1100,2024-08-05 10:19:57,30,13,373,30,A273,Tom Bradley International Terminal,984,10,611,26
LAX,Los Angeles International Airport,526,0,282,9,0,0,0,13,36,27,4,2024-01-04,68,1100 - 1200,2024-08-05 10:19:57,32,14,314,32,A273,Tom Bradley International Terminal,844,13,530,32
LAX,Los Angeles International Airport,1338,0,1141,579,221,115,0,22,40,103,14,2024-01-04,359,1200 - 1300,2024-08-05 10:19:57,69,28,1254,69,A273,Tom Bradley International Terminal,3497,20,2243,65
LAX,Los Angeles International Airport,363,0,743,485,240,297,11,33,38,55,8,2024-01-04,197,1300 - 1400,2024-08-05 10:19:57,102,49,945,102,A273,Tom Bradley International Terminal,2194,22,1249,91
LAX,Los Angeles International Airport,653,0,591,274,215,521,17,35,36,74,9,2024-01-04,236,1400 - 1500,2024-08-05 10:19:57,99,59,873,99,A273,Tom Bradley International Terminal,2345,21,1472,90
LAX,Los Angeles International Airport,553,0,834,174,319,289,0,30,43,53,9,2024-01-04,241,1500 - 1600,2024-08-05 10:19:57,75,49,875,75,A273,Tom Bradley International Terminal,2222,19,1347,67
LAX,Los Angeles International Airport,580,0,286,57,0,0,0,13,39,28,4,2024-01-04,113,1600 - 1700,2024-08-05 10:19:57,37,21,294,37,A273,Tom Bradley International Terminal,951,10,657,34
LAX,Los Angeles International Airport,1105,0,789,415,172,0,0,20,39,65,11,2024-01-04,274,1700 - 1800,2024-08-05 10:19:57,57,23,929,57,A273,Tom Bradley International Terminal,2546,18,1617,55
LAX,Los Angeles International Airport,879,0,843,103,0,0,0,16,40,43,7,2024-01-04,191,1800 - 1900,2024-08-05 10:19:57,44,19,441,43,A273,Tom Bradley International Terminal,1868,15,1427,44
LAX,Los Angeles International Airport,749,0,691,299,149,205,12,26,39,63,8,2024-01-04,237,1900 - 2000,2024-08-05 10:19:57,93,38,1017,93,A273,Tom Bradley International Terminal,2168,16,1151,93
LAX,Los Angeles International Airport,308,0,301,244,83,282,100,41,25,37,6,2024-01-04,135,2000 - 2100,2024-08-05 10:19:57,101,65,545,101,A273,Tom Bradley International Terminal,1355,25,810,96
LAX,Los Angeles International Airport,97,0,309,537,85,94,0,34,20,22,7,2024-01-04,91,2100 - 2200,2024-08-05 10:19:57,78,47,279,78,A273,Tom Bradley International Terminal,1144,30,865,77
LAX,Los Angeles International Airport,468,0,375,17,0,0,0,15,21,25,5,2024-01-04,24,2200 - 2300,2024-08-05 10:19:57,35,16,229,34,A273,Tom Bradley International Terminal,885,15,656,35
LAX,Los Angeles International Airport,829,0,168,0,0,0,0,10,19,27,6,2024-01-04,104,2300 - 0000,2024-08-05 10:19:57,27,11,270,26,A273,Tom Bradley International Terminal,1024,9,754,27
LAX,Los Angeles International Airport,6,0,0,0,0,0,0,0,1,1,1,2024-01-05,0,1300 - 1400,2024-08-05 10:19:57,1,1,1,1,A27F,Atlantic Aviation GAF,7,0,6,1
LAX,Los Angeles International Airport,300,0,177,6,0,0,0,13,7,14,2,2024-01-05,70,1000 - 1100,2024-08-05 10:19:57,31,12,136,31,A278,Satellite 7,497,13,361,31
LAX,Los Angeles International Airport,108,0,368,141,17,0,0,24,7,14,4,2024-01-05,33,1100 - 1200,2024-08-05 10:19:57,50,24,156,50,A278,Satellite 7,648,24,492,50
LAX,Los Angeles International Airport,183,0,118,10,0,0,0,14,7,4,1,2024-01-05,57,1200 - 1300,2024-08-05 10:19:57,31,16,76,31,A278,Satellite 7,315,14,239,31
LAX,Los Angeles International Airport,8,0,163,0,0,0,0,22,8,3,1,2024-01-05,28,1300 - 1400,2024-08-05 10:19:57,30,22,20,27,A278,Satellite 7,174,22,154,30
LAX,Los Angeles International Airport,139,0,19,0,0,0,0,10,8,3,1,2024-01-05,20,1400 - 1500,2024-08-05 10:19:57,20,14,7,19,A278,Satellite 7,161,10,154,20
LAX,Los Angeles International Airport,151,0,129,0,0,0,0,13,7,6,2,2024-01-05,22,1500 - 1600,2024-08-05 10:19:57,25,14,47,25,A278,Satellite 7,286,13,239,24
LAX,Los Angeles International Airport,166,0,0,0,0,0,0,8,6,1,1,2024-01-05,21,1600 - 1700,2024-08-05 10:19:57,15,9,16,14,A278,Satellite 7,167,8,151,15
LAX,Los Angeles International Airport,214,0,99,104,338,315,0,43,9,24,6,2024-01-05,119,1700 - 1800,2024-08-05 10:19:57,73,39,218,73,A278,Satellite 7,1094,45,876,73
LAX,Los Angeles International Airport,177,0,170,0,72,42,0,26,9,7,2,2024-01-05,78,1800 - 1900,2024-08-05 10:19:57,64,23,110,64,A278,Satellite 7,468,27,358,64
LAX,Los Angeles International Airport,61,0,223,394,206,3,0,35,26,26,4,2024-01-05,132,0500 - 0600,2024-08-05 10:19:57,62,40,281,62,A273,Tom Bradley International Terminal,913,33,632,56
LAX,Los Angeles International Airport,636,0,948,568,278,55,0,26,30,73,10,2024-01-05,349,0600 - 0700,2024-08-05 10:19:57,66,34,843,66,A273,Tom Bradley International Terminal,2558,23,1715,66
LAX,Los Angeles International Airport,157,0,255,345,304,270,0,41,30,47,5,2024-01-05,74,0700 - 0800,2024-08-05 10:19:57,81,49,781,81,A273,Tom Bradley International Terminal,1378,30,597,77
LAX,Los Angeles International Airport,135,0,245,585,490,559,730,61,52,89,10,2024-01-05,105,0800 - 0900,2024-08-05 10:19:57,117,76,1651,117,A273,Tom Bradley International Terminal,2833,41,1182,110
